Episode,local_energy,mec_energy,random_energy,DQN_Reward,DQN_Energy,violation_rate
0,11.197525755286174,0.3024570862014453,5.677778373460561,-5.876627063364648,2.381289735356318,40.0
1,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
2,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
3,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
4,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
5,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
6,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
7,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
8,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
9,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
10,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
11,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
12,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
13,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
14,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
15,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
16,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
17,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
18,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
19,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
20,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
21,11.192214530844183,0.3024862651855636,5.588775941924188,-5.581120861301108,2.3711292793828425,38.0
22,11.192214530844183,0.3024862651855636,5.663494104111586,-5.925356624239969,2.372024557481224,40.0
23,11.192214530844183,0.3024862651855636,5.663494104111586,-5.925356624239969,2.372024557481224,40.0
24,11.192214530844183,0.3024862651855636,5.663494104111586,-5.925356624239969,2.372024557481224,40.0
25,11.192214530844183,0.3024862651855636,5.663494104111586,-5.925356624239969,2.372024557481224,40.0
26,11.192214530844183,0.3024862651855636,5.731510728769629,-5.66046440239724,2.3716035921204837,38.0
27,11.192214530844183,0.3024862651855636,5.731510728769629,-5.66046440239724,2.3716035921204837,38.0
28,11.192214530844183,0.3024862651855636,5.855167877754909,-5.660534892974601,2.3717006723496468,38.0
29,11.192214530844183,0.3024862651855636,5.855167877754909,-5.660534892974601,2.3717006723496468,38.0
30,11.192214530844183,0.3024862651855636,5.855167877754909,-5.660534892974601,2.3717006723496468,38.0
31,11.192214530844183,0.3024862651855636,5.855167877754909,-5.660534892974601,2.3717006723496468,38.0
32,11.192214530844183,0.3024862651855636,5.754548557619837,-5.660763457897089,2.371956364227246,38.0
33,11.192214530844183,0.3024862651855636,5.754548557619837,-5.660763457897089,2.371956364227246,38.0
34,11.192214530844183,0.3024862651855636,5.754548557619837,-5.660763457897089,2.371956364227246,38.0
35,11.192214530844183,0.3024862651855636,5.754548557619837,-5.660763457897089,2.371956364227246,38.0
36,11.192214530844183,0.3024862651855636,5.750130516286134,-5.660956788486635,2.3721909038193223,38.0
37,11.192214530844183,0.3024862651855636,5.750130516286134,-5.660956788486635,2.3721909038193223,38.0
38,11.192214530844183,0.3024862651855636,5.750130516286134,-5.660956788486635,2.3721909038193223,38.0
39,11.192214530844183,0.3024862651855636,5.750130516286134,-5.660956788486635,2.3721909038193223,38.0
40,11.192214530844183,0.3024862651855636,5.750130516286134,-5.660956788486635,2.3721909038193223,38.0
41,11.192214530844183,0.3024862651855636,5.750130516286134,-5.660956788486635,2.3721909038193223,38.0
42,11.192214530844183,0.3024862651855636,5.761517100456594,-5.6608986751003805,2.372068408133945,38.0
43,11.192214530844183,0.3024862651855636,5.761517100456594,-5.6608986751003805,2.372068408133945,38.0
44,11.192214530844183,0.3024862651855636,5.761517100456594,-5.6608986751003805,2.372068408133945,38.0
45,11.192214530844183,0.3024862651855636,5.761517100456594,-5.6608986751003805,2.372068408133945,38.0
46,11.192214530844183,0.3024862651855636,5.613633815602765,-5.543369177507422,2.3729825138802507,36.0
47,11.192214530844183,0.3024862651855636,5.613633815602765,-5.543369177507422,2.3729825138802507,36.0
48,11.192214530844183,0.3024862651855636,5.665634293446472,-5.54412599184972,2.373453142913618,36.0
49,11.192214530844183,0.3024862651855636,5.665634293446472,-5.54412599184972,2.373453142913618,36.0
50,11.192214530844183,0.3024862651855636,5.665634293446472,-5.54412599184972,2.373453142913618,36.0
51,11.192214530844183,0.3024862651855636,5.665634293446472,-5.544341495321564,2.373617909130125,36.0
52,11.192214530844183,0.3024862651855636,5.627918611430647,-5.544399984341933,2.373726243836754,36.0
53,11.192214530844183,0.3024862651855636,5.627918611430647,-5.544399984341933,2.373726243836754,36.0
54,11.192214530844183,0.3024862651855636,5.711056970725073,-4.902083007812928,2.3739637757070646,34.0
55,11.192214530844183,0.3024862651855636,5.711056970725073,-4.902083007812928,2.3739637757070646,34.0
56,11.192214530844183,0.3024862651855636,5.711056970725073,-4.901910617719049,2.373768135601732,34.0
57,11.192214530844183,0.3024862651855636,5.711056970725073,-4.901910617719049,2.373768135601732,34.0
58,11.192214530844183,0.3024862651855636,5.711056970725073,-4.901688993532339,2.3735201676184703,34.0
59,11.192214530844183,0.3024862651855636,5.711056970725073,-4.901688993532339,2.3735201676184703,34.0
60,11.192214530844183,0.3024862651855636,5.779526737442229,-4.8478695377596,2.373473026534635,32.0
61,11.192214530844183,0.3024862651855636,5.779526737442229,-4.8478695377596,2.373473026534635,32.0
62,11.192214530844183,0.3024862651855636,5.81994925884486,-5.09262547277495,2.3736350557821058,34.0
63,11.192214530844183,0.3024862651855636,5.81994925884486,-5.09262547277495,2.3736350557821058,34.0
64,11.192214530844183,0.3024862651855636,5.81994925884486,-5.092540376154204,2.373456513709081,34.0
65,11.192214530844183,0.3024862651855636,5.81994925884486,-5.092540376154204,2.373456513709081,34.0
66,11.192214530844183,0.3024862651855636,5.81994925884486,-5.092705343297535,2.3736215914050267,34.0
67,11.192214530844183,0.3024862651855636,5.81994925884486,-5.092705343297535,2.3736215914050267,34.0
68,11.192214530844183,0.3024862651855636,5.817340773775457,-4.60372285818456,2.3740710154146494,32.0
69,11.192214530844183,0.3024862651855636,5.817340773775457,-4.60372285818456,2.3740710154146494,32.0
70,11.192214530844183,0.3024862651855636,5.881034767759038,-4.603806438952807,2.37416422603982,32.0
71,11.192214530844183,0.3024862651855636,5.881034767759038,-4.603806438952807,2.37416422603982,32.0
72,11.192214530844183,0.3024862651855636,5.8822717246310585,-4.6038736185824805,2.37424900867246,32.0
73,11.192214530844183,0.3024862651855636,5.8822717246310585,-4.6038736185824805,2.37424900867246,32.0
74,11.192214530844183,0.3024862651855636,6.041883984006956,-4.169224552373951,2.374691324471876,32.0
