Episode,DQN_Reward,DQN_Energy,violation_rate
0,-0.28027557266141323,0.09786865207530697,43.0
1,-0.32208812946722276,0.0864294015158599,56.00000000000001
2,-0.31963423961773973,0.0831479779252176,57.99999999999999
3,-0.3572272569681887,0.1481680600569663,49.0
4,-0.23399664016151023,0.06546835760049154,47.0
5,-0.34169721642477585,0.15444885428988808,46.0
6,-0.34236411004163964,0.1626322337236333,47.0
7,-0.4092869587878014,0.21358455176404745,47.0
8,-0.31512922143619826,0.1112805189343742,55.00000000000001
9,-0.3520002119211511,0.1499820222756989,49.0
10,-0.32742760180392433,0.12917906088404135,45.0
11,-0.3467370420795916,0.20376759478704634,39.0
12,-0.2705792852185825,0.08474158072830079,54.0
13,-0.34197644778010106,0.12510608705747667,49.0
14,-0.3437700821907848,0.11660961255403325,57.99999999999999
15,-0.2548921662331478,0.09713359901140935,40.0
16,-0.2888703931007989,0.08726435158710341,46.0
17,-0.27944027271837757,0.10112535465403581,47.0
18,-0.3195188923034368,0.15543078120631748,46.0
19,-0.3614265555734534,0.21958517662587534,38.0
20,-0.28989539177117474,0.08328185494808628,52.0
21,-0.2980190985122241,0.0861760881157404,57.99999999999999
22,-0.2706434262690852,0.08585735196417446,53.0
23,-0.23986507089160636,0.07098068090571098,43.0
24,-0.29847043947236823,0.10498836901624822,51.0
25,-0.3221836691872291,0.14104187898340712,43.0
26,-0.37440076464688327,0.15021962572129868,49.0
27,-0.33569775083386383,0.09528934152894598,50.0
28,-0.3161934743875107,0.11876754519513531,48.0
29,-0.24472557750762136,0.11941016307807266,36.0
30,-0.3660403853453114,0.19385528320589432,38.0
31,-0.32212742395446253,0.14816105787956782,40.0
32,-0.24074431325895473,0.08640106105991369,44.0
33,-0.27121107796834065,0.11295086651456814,41.0
34,-0.29891880807060667,0.09985969169775624,44.0
35,-0.2763769227829947,0.11430704519153849,40.0
36,-0.2532752673878257,0.10834860266814887,38.0
37,-0.2861157149155258,0.06788933347261558,49.0
38,-0.3234741490102657,0.13283731795754486,46.0
39,-0.32436159676661314,0.131105665645927,48.0
40,-0.29017817339456914,0.08511765186142112,44.0
41,-0.24527973267662737,0.06403387773146639,50.0
42,-0.33343430748634534,0.1646071885813225,46.0
43,-0.2239075940411972,0.06271455075482542,38.0
44,-0.26465578048655286,0.09458901167752616,42.0
45,-0.3563927711104929,0.1791805357797203,44.0
46,-0.31221132732281676,0.11352124512477717,46.0
47,-0.3759564438522725,0.17034969236611924,48.0
48,-0.3332432417666713,0.13723533510295727,52.0
49,-0.28458243667824074,0.08994882922736946,44.0
50,-0.28489704932158944,0.06445097531422218,50.0
51,-0.303356950758515,0.10681339525709181,48.0
52,-0.3057725902142078,0.13945671576827565,43.0
53,-0.22415124234744038,0.0661778008846234,39.0
54,-0.31236939689265236,0.1332617061728051,53.0
55,-0.2541749274606132,0.08964789755676776,40.0
56,-0.31342008917037045,0.11197670327165142,47.0
57,-0.27568251950058764,0.09818991365585433,46.0
58,-0.2737234482484042,0.132883021030191,39.0
59,-0.3102335922721001,0.12377700121559077,47.0
60,-0.2878884126065685,0.11432289170940312,46.0
61,-0.3025259609408746,0.12321887567822858,49.0
62,-0.2826793921562098,0.08404634591966563,48.0
63,-0.2519482413094519,0.06542708382185523,47.0
64,-0.34126935995770774,0.19439713821007287,41.0
65,-0.28968259440754934,0.09254244740822068,51.0
66,-0.25631814649488477,0.10223264321846344,38.0
67,-0.23557246103102575,0.06326393893777055,47.0
68,-0.3232013589130998,0.12568274903965931,45.0
69,-0.28903515564007703,0.09604573882809506,47.0
70,-0.26787568007580553,0.08819690019544696,49.0
71,-0.3411388725352315,0.2009689216351484,40.0
72,-0.3082123131618959,0.1422048985656488,38.0
73,-0.26485692952014805,0.12389914136226138,44.0
74,-0.28931432706491333,0.11774473002428774,45.0
75,-0.23726624558744178,0.0637004390130804,44.0
76,-0.2846818103169704,0.12514089796979586,45.0
77,-0.34327999411428023,0.1762681631009251,41.0
78,-0.25713376433187723,0.10871144183589611,30.0
79,-0.28954246785792664,0.06514257149215717,54.0
80,-0.28362789720571846,0.08607476863930819,42.0
81,-0.2102736738022147,0.09059851006414724,32.0
82,-0.2571846114559041,0.10360789496382873,38.0
83,-0.2859684866710916,0.08908014236854583,46.0
84,-0.24781586755149212,0.06591131217468553,47.0
85,-0.25016938676451606,0.0951815825335023,39.0
86,-0.2426672338613124,0.08630756800485909,40.0
