data_size,num_UEs,bandwidth,mec_capacity,min_semantic_factor,total_energy,delay_penalty,offload_count,local_count,best_generation
256,5,1000,20.0,0.3,15.383702620467439,0,0,5,501
256,10,1000,20.0,0.3,29.193478154646595,0,0,10,501
256,15,1000,20.0,0.3,43.75788538232948,0,0,15,501
256,20,1000,20.0,0.3,58.679910042229075,0,0,20,501
256,25,1000,20.0,0.3,73.77650119598727,0,0,25,501
256,30,1000,20.0,0.3,86.66290629086934,0,0,30,501
