Episode,DQN_Reward,DQN_Energy,violation_rate
0,16.61337611077182,0.09534977537713077,43.0
1,16.461547667120882,0.11467287172427638,57.99999999999999
2,16.410254127753714,0.10662598250368208,54.0
3,15.95959846440144,0.11679188969366554,49.0
4,16.376394188085513,0.06254867640795722,48.0
5,15.831358738106724,0.18936917567790307,49.0
6,15.324538931365144,0.1837817835548977,46.0
7,14.940334695887424,0.2090321324671537,47.0
8,16.11428080165653,0.10769210172184193,54.0
9,16.344756271456987,0.14755026945669633,47.0
10,16.054454083127435,0.06359399540060867,52.0
11,15.882612435820558,0.19987221281971818,43.0
12,16.332948418056336,0.08193220777242756,55.00000000000001
13,15.67567913775141,0.12179102693244809,52.0
14,16.227054367455132,0.11217945795587403,59.0
15,15.66847457189624,0.0914231331105101,42.0
16,16.110232991800018,0.08450040790862925,41.0
17,16.687099207455713,0.09719318711785442,45.0
18,16.086893821417135,0.15162419646696482,46.0
19,15.461167909700336,0.2151013645085402,35.0
20,16.635432552541307,0.08047312801198371,53.0
21,16.831774872128797,0.08363161880262208,55.00000000000001
22,16.42159849055405,0.08161448710527824,52.0
23,15.387988684891948,0.06757866714773847,41.0
24,16.73193687390958,0.10174869637251183,49.0
25,15.664699119241016,0.13737275119623843,45.0
26,16.751494687061726,0.14661322227591753,47.0
27,16.042610795851427,0.11633728902573927,45.0
28,15.99909052662422,0.1131298767613599,50.0
29,16.519268621457226,0.1157895107895301,39.0
30,15.392830727390585,0.18897972093458498,40.0
31,15.720302087621294,0.17005616067915408,42.0
32,17.06192228951538,0.08297711111290139,45.0
33,16.362363695357505,0.10955626453909689,40.0
34,16.423515038176134,0.09594241934871382,49.0
35,16.641659524641906,0.08359902951114268,41.0
36,16.052541953298544,0.10510314746527644,38.0
37,16.438639286736223,0.06165885744599525,49.0
38,15.833965633207399,0.12923187674688896,47.0
39,16.51744002016526,0.12832146289179813,46.0
40,16.90356005544679,0.05976077659794991,46.0
41,16.725510766687083,0.06060123001060894,48.0
42,15.927964793059653,0.1605205716963171,41.0
43,16.95431007207924,0.05948448496873067,32.0
44,15.921845977957242,0.1253326481119728,49.0
45,14.241457948476604,0.20110307282620915,54.0
46,14.728262339056258,0.13326568046222553,57.99999999999999
47,14.912474518909454,0.1724539323612598,56.00000000000001
48,14.598225423021292,0.1372250769390892,56.99999999999999
49,15.060928090308005,0.11261212659693116,56.99999999999999
50,15.417388002203758,0.0652883936934447,59.0
51,14.387687247441804,0.1303754843664885,56.99999999999999
52,15.379070362258712,0.14005484746280655,49.0
53,14.910584921611921,0.0694385130841019,47.0
54,14.244700979538669,0.15875443389686777,61.0
55,15.918980789247573,0.09082165577333998,48.0
56,14.990077363650741,0.11692834050638279,57.99999999999999
57,15.08129612598617,0.0980205341408523,56.99999999999999
58,14.924567204385605,0.15847422874019138,47.0
59,15.35929545212517,0.12289991344615636,54.0
60,15.027913742637352,0.1371603034381237,51.0
61,15.355302938023181,0.12344050132115035,63.0
62,15.53399923395884,0.08592054754075465,59.0
63,15.562303124623295,0.06636761284381598,56.99999999999999
64,14.594798938521127,0.19849018488479195,48.0
65,14.197823992832141,0.1182900729942888,65.0
66,15.37880386300462,0.10542473214973741,55.00000000000001
67,16.1057274997007,0.06348851053469773,50.0
68,15.834169525820478,0.1282444443970247,50.0
69,14.600888950281913,0.12170328193828411,56.00000000000001
70,14.843689669270837,0.1466393801353126,53.0
