Generation,Best Energy
1,13.575117592772996
2,13.575117592772996
3,13.554546352197065
4,13.001817497044112
5,13.001817497044112
6,13.001817497044112
7,13.001817497044112
8,13.001817497044112
9,13.001817497044112
10,13.001817497044112
11,13.001817497044112
12,13.001817497044112
13,13.001817497044112
14,13.001817497044112
15,12.100316962336622
16,12.100316962336622
17,12.100316962336622
18,12.100316962336622
19,12.100316962336622
20,12.100316962336622
21,12.100316962336622
22,12.100316962336622
23,12.100316962336622
24,12.100316962336622
25,12.100316962336622
26,12.100316962336622
27,12.100316962336622
28,12.100316962336622
29,12.100316962336622
30,12.100316962336622
31,12.100316962336622
32,12.100316962336622
33,12.100316962336622
34,12.100316962336622
35,12.100316962336622
36,12.100316962336622
37,12.100316962336622
38,12.100316962336622
39,12.100316962336622
40,12.100316962336622
41,12.100316962336622
42,12.100316962336622
43,12.100316962336622
44,12.100316962336622
45,12.100316962336622
46,12.100316962336622
47,12.100316962336622
48,12.100316962336622
49,12.100316962336622
50,12.100316962336622
51,12.100316962336622
52,12.100316962336622
53,12.100316962336622
54,12.100316962336622
55,12.100316962336622
56,12.100316962336622
57,12.100316962336622
58,12.100316962336622
59,12.100316962336622
60,12.100316962336622
61,12.100316962336622
62,12.100316962336622
63,12.100316962336622
64,12.100316962336622
65,12.100316962336622
66,12.100316962336622
67,12.100316962336622
68,12.100316962336622
69,12.100316962336622
70,12.100316962336622
71,12.100316962336622
72,12.100316962336622
73,12.100316962336622
74,12.100316962336622
75,12.100316962336622
76,12.100316962336622
77,12.100316962336622
78,12.100316962336622
79,12.100316962336622
80,12.100316962336622
81,12.100316962336622
82,12.100316962336622
83,12.100316962336622
84,12.100316962336622
85,12.100316962336622
86,12.100316962336622
87,12.100316962336622
88,12.100316962336622
89,12.100316962336622
90,12.100316962336622
91,12.100316962336622
92,12.100316962336622
93,12.100316962336622
94,12.100316962336622
95,12.100316962336622
96,12.100316962336622
97,12.100316962336622
98,12.100316962336622
99,12.100316962336622
100,12.100316962336622
101,12.100316962336622
102,12.100316962336622
103,12.100316962336622
104,12.100316962336622
105,12.100316962336622
106,12.100316962336622
107,12.100316962336622
108,12.100316962336622
109,12.100316962336622
110,12.100316962336622
111,12.100316962336622
112,12.100316962336622
113,12.100316962336622
114,12.100316962336622
115,12.100316962336622
116,12.100316962336622
117,12.100316962336622
118,12.100316962336622
119,12.100316962336622
120,12.100316962336622
121,12.100316962336622
122,12.100316962336622
123,12.100316962336622
124,12.100316962336622
125,12.100316962336622
126,12.100316962336622
127,12.100316962336622
128,12.100316962336622
129,12.100316962336622
130,12.100316962336622
131,12.100316962336622
132,12.100316962336622
133,12.100316962336622
134,12.100316962336622
135,12.100316962336622
136,12.100316962336622
137,12.100316962336622
138,12.100316962336622
139,12.100316962336622
140,12.100316962336622
141,12.100316962336622
142,12.100316962336622
143,12.100316962336622
144,12.100316962336622
145,12.100316962336622
146,12.100316962336622
147,12.100316962336622
148,12.100316962336622
149,12.100316962336622
150,12.100316962336622
151,12.100316962336622
152,12.100316962336622
153,12.100316962336622
154,12.100316962336622
155,12.100316962336622
156,12.100316962336622
157,12.100316962336622
158,12.100316962336622
159,12.100316962336622
160,12.100316962336622
161,12.100316962336622
162,12.100316962336622
163,12.100316962336622
164,12.100316962336622
165,12.100316962336622
166,12.100316962336622
167,12.100316962336622
168,12.100316962336622
169,12.100316962336622
170,12.100316962336622
171,12.100316962336622
172,12.100316962336622
173,12.100316962336622
174,12.100316962336622
175,12.100316962336622
176,12.100316962336622
177,12.100316962336622
178,12.100316962336622
179,12.100316962336622
180,12.100316962336622
181,12.100316962336622
182,12.100316962336622
183,12.100316962336622
184,12.100316962336622
185,12.100316962336622
186,12.100316962336622
187,12.100316962336622
188,12.100316962336622
189,12.100316962336622
190,12.100316962336622
191,12.100316962336622
192,12.100316962336622
193,12.100316962336622
194,12.100316962336622
195,12.100316962336622
196,12.100316962336622
197,12.100316962336622
198,12.100316962336622
199,12.100316962336622
200,12.100316962336622
201,12.100316962336622
202,12.100316962336622
203,12.100316962336622
204,12.100316962336622
205,12.100316962336622
206,12.100316962336622
207,12.100316962336622
208,12.100316962336622
209,12.100316962336622
210,12.100316962336622
211,12.100316962336622
212,12.100316962336622
213,12.100316962336622
214,12.100316962336622
215,12.100316962336622
216,12.100316962336622
217,12.100316962336622
218,12.100316962336622
219,12.100316962336622
220,12.100316962336622
221,12.100316962336622
222,12.100316962336622
223,12.100316962336622
224,12.100316962336622
225,12.100316962336622
226,12.100316962336622
227,12.100316962336622
228,12.100316962336622
229,12.100316962336622
230,12.100316962336622
231,12.100316962336622
232,12.100316962336622
233,12.100316962336622
234,12.09181187751485
235,12.09181187751485
236,12.09181187751485
237,12.09181187751485
238,12.09181187751485
239,12.09181187751485
240,12.09181187751485
241,12.09181187751485
242,12.09181187751485
243,12.09181187751485
244,12.09181187751485
245,12.09181187751485
246,12.09181187751485
247,12.09181187751485
248,12.09181187751485
249,12.09181187751485
250,12.09181187751485
251,12.09181187751485
252,12.09181187751485
253,12.09181187751485
254,12.09181187751485
255,12.09181187751485
256,12.09181187751485
257,12.09181187751485
258,12.09181187751485
259,12.09181187751485
260,12.09181187751485
261,12.09181187751485
262,12.09181187751485
263,12.09181187751485
264,12.09181187751485
265,12.09181187751485
266,12.09181187751485
267,12.09181187751485
268,12.09181187751485
269,12.09181187751485
270,12.09181187751485
271,12.09181187751485
272,12.09181187751485
273,12.09181187751485
274,12.09181187751485
275,12.09181187751485
276,12.09181187751485
277,12.09181187751485
278,12.09181187751485
279,12.09181187751485
280,12.09181187751485
281,12.09181187751485
282,12.09181187751485
283,12.09181187751485
284,12.09181187751485
285,12.09181187751485
286,12.09181187751485
287,12.09181187751485
288,12.09181187751485
289,12.09181187751485
290,12.09181187751485
291,12.09181187751485
292,12.09181187751485
293,12.09181187751485
294,12.09181187751485
295,12.09181187751485
296,12.09181187751485
297,12.09181187751485
298,12.09181187751485
299,12.09181187751485
300,12.09181187751485
301,12.09181187751485
302,12.09181187751485
303,12.09181187751485
304,12.09181187751485
305,12.09181187751485
306,12.09181187751485
307,12.09181187751485
308,12.09181187751485
309,12.09181187751485
310,12.09181187751485
311,12.09181187751485
312,12.09181187751485
313,12.09181187751485
314,12.09181187751485
315,12.09181187751485
316,12.09181187751485
317,12.09181187751485
318,12.09181187751485
319,12.09181187751485
320,12.09181187751485
321,12.09181187751485
322,12.09181187751485
323,12.09181187751485
324,12.09181187751485
325,12.09181187751485
326,12.09181187751485
327,12.09181187751485
328,12.09181187751485
329,12.09181187751485
330,12.09181187751485
331,12.09181187751485
332,12.09181187751485
333,12.09181187751485
334,12.09181187751485
335,12.09181187751485
336,12.09181187751485
337,12.09181187751485
338,12.09181187751485
339,12.09181187751485
340,12.09181187751485
341,12.09181187751485
342,12.09181187751485
343,12.09181187751485
344,12.09181187751485
345,12.09181187751485
346,12.09181187751485
347,12.09181187751485
348,12.09181187751485
349,12.09181187751485
350,12.09181187751485
351,12.09181187751485
352,12.09181187751485
353,12.09181187751485
354,12.09181187751485
355,12.09181187751485
356,12.09181187751485
357,12.09181187751485
358,12.063579075089736
359,12.063579075089736
360,12.063579075089736
361,12.063579075089736
362,12.063579075089736
363,12.063579075089736
364,12.063579075089736
365,12.063579075089736
366,12.063579075089736
367,12.063579075089736
368,12.063579075089736
369,12.063579075089736
370,12.063579075089736
371,12.063579075089736
372,12.063579075089736
373,12.063579075089736
374,12.063579075089736
375,12.063579075089736
376,12.063579075089736
377,12.063579075089736
378,12.063579075089736
379,12.063579075089736
380,12.063579075089736
381,12.063579075089736
382,12.063579075089736
383,12.063579075089736
384,12.063579075089736
385,12.063579075089736
386,12.063579075089736
387,12.063579075089736
388,12.063579075089736
389,12.063579075089736
390,12.063579075089736
391,12.063579075089736
392,12.063579075089736
393,12.063579075089736
394,12.063579075089736
395,12.063579075089736
396,12.063579075089736
397,12.063579075089736
398,12.063579075089736
399,12.063579075089736
400,12.063579075089736
401,12.063579075089736
402,12.063579075089736
403,12.063579075089736
404,12.063579075089736
405,12.063579075089736
406,12.063579075089736
407,12.063579075089736
408,12.063579075089736
409,12.063579075089736
410,12.063579075089736
411,12.063579075089736
412,12.063579075089736
413,12.063579075089736
414,12.063579075089736
415,12.063579075089736
416,12.063579075089736
417,12.063579075089736
418,11.950262040667416
419,11.950262040667416
420,11.950262040667416
421,11.950262040667416
422,11.950262040667416
423,11.950262040667416
424,11.950262040667416
425,11.950262040667416
426,11.950262040667416
427,11.950262040667416
428,11.950262040667416
429,11.950262040667416
430,11.950262040667416
431,11.950262040667416
432,11.950262040667416
433,11.950262040667416
434,11.950262040667416
435,11.950262040667416
436,11.950262040667416
437,11.950262040667416
438,11.950262040667416
439,11.950262040667416
440,11.950262040667416
441,11.950262040667416
442,11.950262040667416
443,11.950262040667416
444,11.950262040667416
445,11.950262040667416
446,11.950262040667416
447,11.950262040667416
448,11.950262040667416
449,11.950262040667416
450,11.950262040667416
451,11.950262040667416
452,11.950262040667416
453,11.950262040667416
454,11.950262040667416
455,11.950262040667416
456,11.950262040667416
457,11.950262040667416
458,11.950262040667416
459,11.950262040667416
460,11.950262040667416
461,11.650092829006145
462,11.650092829006145
463,11.650092829006145
464,11.650092829006145
465,11.650092829006145
466,11.650092829006145
467,11.650092829006145
468,11.650092829006145
469,11.650092829006145
470,11.650092829006145
471,11.650092829006145
472,11.650092829006145
473,11.650092829006145
474,11.650092829006145
475,11.650092829006145
476,11.650092829006145
477,11.650092829006145
478,11.650092829006145
479,11.650092829006145
480,11.650092829006145
481,11.650092829006145
482,11.650092829006145
483,11.650092829006145
484,11.650092829006145
485,11.650092829006145
486,11.650092829006145
487,11.650092829006145
488,11.650092829006145
489,11.650092829006145
490,11.650092829006145
491,11.650092829006145
492,11.650092829006145
493,11.650092829006145
494,11.650092829006145
495,11.650092829006145
496,11.650092829006145
497,11.650092829006145
498,11.650092829006145
499,11.650092829006145
500,11.650092829006145
501,11.650092829006145
502,11.650092829006145
503,11.650092829006145
504,11.650092829006145
505,11.650092829006145
506,11.650092829006145
507,11.650092829006145
508,11.650092829006145
509,11.650092829006145
510,11.650092829006145
511,11.650092829006145
512,11.650092829006145
